Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-12-30,RSV-N,8997729.27371501,9272678.49392004,0.990395932560283,0.863454619504855,1.12678697620288
Switzerland,2023-12-31,RSV-N,10794408.1097517,8997729.27371501,0.984375817965242,0.85916606068675,1.11741838441378
Switzerland,2024-01-01,RSV-N,9703284.00731786,9703284.00731786,0.978658020088232,0.854499703683727,1.11005376432866
Switzerland,2024-01-02,RSV-N,18577814.0364854,10794408.1097517,0.973199642403205,0.850045097765264,1.10429972958859
Switzerland,2024-01-03,RSV-N,6584722.45051229,11456940.58143,0.967972537748784,0.845171223220137,1.09808175878623
Switzerland,2024-01-04,RSV-N,14036139.2359153,11456940.58143,0.963008647258768,0.839745486876503,1.09284073034544
Switzerland,2024-01-05,RSV-N,11456940.58143,11456940.58143,0.958354147774766,0.834774176960557,1.0873721371545
Switzerland,2024-01-06,RSV-N,13076625.9572751,10560919.6855858,0.954042193238706,0.831114910010375,1.08079906644001
Switzerland,2024-01-07,RSV-N,9191889.74076887,10560919.6855858,0.950061547848812,0.828432112119128,1.0746109187883
Switzerland,2024-01-08,RSV-N,10560919.6855858,9191889.74076887,0.946389074816367,0.827036187424173,1.06924210037526
Switzerland,2024-01-09,RSV-N,6778809.86947311,8937444.98248674,0.942996361127909,0.825679227167369,1.06294865568442
Switzerland,2024-01-10,RSV-N,7206894.58573013,8937444.98248674,0.939846772144481,0.823762768145598,1.05737921891887
Switzerland,2024-01-11,RSV-N,8937444.98248674,7469614.95932005,0.936901247582742,0.822023703327086,1.05247098953008
Switzerland,2024-01-12,RSV-N,7469614.95932005,7469614.95932005,0.934122085776849,0.820467477783159,1.04843189022042
Switzerland,2024-01-13,RSV-N,10972258.6745309,7982736.62659281,0.93148382364167,0.818277332265402,1.04459758480192
Switzerland,2024-01-14,RSV-N,6134131.99938562,7982736.62659281,0.928965441186799,0.817014367209176,1.04185067099239
Switzerland,2024-01-15,RSV-N,11737934.0795012,7982736.62659281,0.926550595714123,0.815905272946231,1.03795900077979
Switzerland,2024-01-16,RSV-N,7982736.62659281,7982736.62659281,0.924222668167763,0.815059428748509,1.03559498383097
Switzerland,2024-01-17,RSV-N,5568900.4130529,7982736.62659281,0.921964544273535,0.813362866836469,1.03393436128571
Switzerland,2024-01-18,RSV-N,12339223.4344183,8578410.73193367,0.919764200767176,0.811812106517165,1.03206171518138
Switzerland,2024-01-19,RSV-N,6696297.66208149,8578410.73193367,0.91762830388275,0.810851481811553,1.02977806797257
Switzerland,2024-01-20,RSV-N,8578410.73193367,8578410.73193367,0.91556758126393,0.809671605690655,1.02747686935965
Switzerland,2024-01-21,RSV-N,9840860.38377232,8578410.73193367,0.913587369566232,0.808910859041321,1.02517803581299
Switzerland,2024-01-22,RSV-N,9938906.60144372,8032579.37907585,0.911675485093706,0.806597439982049,1.0226401975841
Switzerland,2024-01-23,RSV-N,4362359.64559484,8032579.37907585,0.909815416565036,0.804985265254303,1.02114945941088
Switzerland,2024-01-24,RSV-N,8032579.37907585,8032579.37907585,0.907991362523109,0.804847107520092,1.01971478899932
Switzerland,2024-01-25,RSV-N,6220387.64953822,8032579.37907585,0.906193187103361,0.804073777424934,1.01701703117152
Switzerland,2024-01-26,RSV-N,5750988.5741454,8032579.37907585,0.904412458284786,0.803192399261518,1.01443872445957
Switzerland,2024-01-27,RSV-N,8271381.18866492,8032579.37907585,0.902640296190162,0.801971810597864,1.0135828071196
Switzerland,2024-01-28,RSV-N,8930540.25049813,6282734.65875438,0.900860374621804,0.800449119837349,1.01223630870248
Switzerland,2024-01-29,RSV-N,10188472.4374275,6546372.99155163,0.899054426786862,0.798518827685905,1.01076740616775
Switzerland,2024-01-30,RSV-N,6282734.65875438,8271381.18866492,0.897207333741774,0.796522087414824,1.00953912402163
Switzerland,2024-01-31,RSV-N,5817045.07564158,6546372.99155163,0.895314686180656,0.79472742374067,1.00870382942333
Switzerland,2024-02-01,RSV-N,6546372.99155163,6546372.99155163,0.893373906971657,0.792241041123991,1.00683664975666
Switzerland,2024-02-02,RSV-N,10203894.8079352,6449264.08025923,0.891380905390666,0.790535270811016,1.0042239157527
Switzerland,2024-02-03,RSV-N,5771108.95010276,6449264.08025923,0.889338543187699,0.788906241062537,1.00091992996681
Switzerland,2024-02-04,RSV-N,7613159.13064745,6449264.08025923,0.887250690514225,0.787316434643734,0.997507284147328
Switzerland,2024-02-05,RSV-N,6449264.08025923,6449264.08025923,0.885118864439373,0.784943990942485,0.993833537335287
Switzerland,2024-02-06,RSV-N,4730260.10293291,5913118.6845242,0.882946460356657,0.783034500899866,0.990936607554676
Switzerland,2024-02-07,RSV-N,5913118.6845242,6449264.08025923,0.880737303112575,0.781844249909556,0.987872942356821
Switzerland,2024-02-08,RSV-N,7582904.0055907,6154908.00606824,0.878494686882628,0.780016405705132,0.984899265110042
Switzerland,2024-02-09,RSV-N,5776919.16922613,6154908.00606824,0.87622185124038,0.777160181205608,0.982801524628966
Switzerland,2024-02-10,RSV-N,9920341.66530846,6569250.42290701,0.873922905993505,0.774118526607287,0.980019434466729
Switzerland,2024-02-11,RSV-N,6154908.00606824,7020071.01504293,0.871605328823684,0.771509891570999,0.977405109986468
Switzerland,2024-02-12,RSV-N,6569250.42290701,6569250.42290701,0.869276066390416,0.769021239639098,0.974476321413958
Switzerland,2024-02-13,RSV-N,8797796.47814677,7020071.01504293,0.866941291748556,0.766542613473374,0.971838801815619
Switzerland,2024-02-14,RSV-N,7020071.01504293,7020071.01504293,0.864608515910755,0.763790727217467,0.969448648019354
Switzerland,2024-02-15,RSV-N,4953774.35680918,7175273.54019286,0.8622923827963,0.760576787062244,0.967533327591978
Switzerland,2024-02-16,RSV-N,7672330.56538076,7175273.54019286,0.860008990218455,0.757446920020137,0.965349332876542
Switzerland,2024-02-17,RSV-N,7175273.54019286,7020071.01504293,0.857773183133468,0.753502234262087,0.963030215688224
Switzerland,2024-02-18,RSV-N,8988463.20324815,6727514.79897105,0.855596007548546,0.75086682153804,0.959873000400446
Switzerland,2024-02-19,RSV-N,6727514.79897105,7175273.54019286,0.853487247036508,0.747798781758446,0.957738364519166
Switzerland,2024-02-20,RSV-N,5030824.56567181,6727514.79897105,0.851453938115734,0.745479778036187,0.954827585873535
Switzerland,2024-02-21,RSV-N,2870592.23319576,5519517.27291564,0.849496645704044,0.742955894461804,0.951399762804734
Switzerland,2024-02-22,RSV-N,8311009.441655,5030824.56567181,0.847614340163524,0.741436198605285,0.948279264545158
Switzerland,2024-02-23,RSV-N,4292332.9069347,5030824.56567181,0.845805916986732,0.740604818734333,0.945899962089408
Switzerland,2024-02-24,RSV-N,5519517.27291564,4558789.17054637,0.84406901453982,0.739248168547688,0.943468280066036
Switzerland,2024-02-25,RSV-N,4000025.93800583,5000463.58863679,0.8424010419269,0.738110821207477,0.942810927227035
Switzerland,2024-02-26,RSV-N,5839866.28796642,4558789.17054637,0.84080368731375,0.73587141734111,0.941697070130953
Switzerland,2024-02-27,RSV-N,4558789.17054637,5000463.58863679,0.83929366495462,0.733385763429999,0.941198114535896
